சு1,0.4722390879,சு1,0.4722390879,-0.3258380686
சு2,0.6832495442,சு2,0.6832495442,-0.1654206494
சூ,0.1607013145,சூ,0.1607013145,-0.7939805708
சூ2,0.133832385,சூ2,0.133832385,-0.8734387825
செ,0.3300264353,செ,0.3300264353,-0.4814512715
செ1,0.5565674965,செ1,0.5565674965,-0.25448216
சே,0.1434537018,சே,0.1434537018,-0.8432882404
சே1,0.13829859,சே1,0.13829859,-0.8591822476
சை,0.2281991834,சை,0.2281991834,-0.641685914
சை1,0.1315523173,சை1,0.1315523173,-0.8809014974
சொ,0.1170847554,சொ,0.1170847554,-0.931499647
சொ1,0.3120151117,சொ1,0.3120151117,-0.5058243715
சோ,0.1316788893,சோ,0.1316788893,-0.8804838454
சோ1,0.0505970451,சோ1,0.0505970451,-1.2958748455
சௌ,0.0137649217,சௌ,0.0137649217,-1.8612262547
ஞ்,0.4416383905,ஞ்,0.4416383905,-0.3549331815
ஞ்1,0.1990150442,ஞ்1,0.1990150442,-0.7011140926
ஞ்2,0.3677973593,ஞ்2,0.3677973593,-0.4343913932
ஞ,0.0218912007,ஞ,0.0218912007,-1.6597304174
ஞ1,0.0860149767,ஞ1,0.0860149767,-1.065425924
ஞ2,0.0766532236,ஞ2,0.0766532236,-1.1154695765
ஞா,0.05323542,ஞா,0.05323542,-1.2737993152
ஞா1,0.0522836133,ஞா1,0.0522836133,-1.2816344061
ஞி,0.0016584243,ஞி,0.0016584243,-2.7803043474
ஞி2,0.0013811392,ஞி2,0.0013811392,-2.8597625483
ஞீ,0.001160897,ஞீ,0.001160897,-2.9352063111
ஞீ2,0.0009667974,ஞீ2,0.0009667974,-3.0146645262
ஞு,0.0004975273,ஞு,0.0004975273,-3.3031830839
ஞு2,0.0004143417,ஞு2,0.0004143417,-3.3826413564
ஞூ,0.0003316849,ஞூ,0.0003316849,-3.4792742993
ஞூ2,0.0002762278,ஞூ2,0.0002762278,-3.5587326155
ஞெ,0.0066336972,ஞெ,0.0066336972,-2.1782443561
ஞே,0.0006633697,ஞே,0.0006633697,-3.1782443691
ஞை,0.0084579639,ஞை,0.0084579639,-2.0727341728
ஞொ,0.0004975273,ஞொ,0.0004975273,-3.3031830839
ஞோ,0.0004975273,ஞோ,0.0004975273,-3.3031830839
ஞௌ,0.0001658424,ஞௌ,0.0001658424,-3.7803044259
ட்,1.7428380947,ட்,1.7428380947,0.2412570441
ட்1,1.4571948998,ட்1,1.4571948998,0.1635176425
ட்2,1.451439147,ட்2,1.451439147,0.1617988323
ட,1.2524420298,ட,1.2524420298,0.0977576334
ட1,1.330702287,ட1,1.330702287,0.1240809033
ட2,1.813159494,ட2,1.813159494,0.2584360084
டா,0.2575532935,டா,0.2575532935,-0.5891328921
டா1,0.2512986575,டா1,0.2512986575,-0.5998098315
டி,1.1713450816,டி,1.1713450816,0.0686848583
டி1,1.0304931525,டி1,1.0304931525,0.0130451103
டி2,0.9754985912,டி2,0.9754985912,-0.0107733535
டீ,0.0124381822,டீ,0.0124381822,-1.9052430857
டீ1,0.0758955677,டீ1,0.0758955677,-1.1197835862
டீ2,0.0103585437,டீ2,0.0103585437,-1.9847012974
டு,1.5232627176,டு,1.5232627176,0.1827748127
டு1,1.2278216286,டு1,1.2278216286,0.0891352794
டு2,1.2685763218,டு2,1.2685763218,0.103316601
டூ,0.0117748125,டூ,0.0117748125,-1.9290459998
டூ2,0.0098060881,டூ2,0.0098060881,-2.0085042093
டெ,0.0172476127,டெ,0.0172476127,-1.7632710086
டெ1,0.0387910679,டெ1,0.0387910679,-1.4112682643
டே,0.015423346,டே,0.015423346,-1.8118213985
டே1,0.0860149767,டே1,0.0860149767,-1.065425924
டை,0.6025055474,டை,0.6025055474,-0.2200389501
டை1,0.3491196114,டை1,0.3491196114,-0.4570257545
டொ,0.0054728002,டொ,0.0054728002,-2.2617904067
டோ,0.0260372615,டோ,0.0260372615,-1.5844046951
டோ1,0.0438507724,டோ1,0.0438507724,-1.3580227524
டௌ,0.0004975273,டௌ,0.0004975273,-3.3031830839
ண்,1.0391686651,ண்,1.0391686651,0.0166860426
ண்1,1.0524185388,ண்1,1.0524185388,0.0221884898
ண்2,0.8654217999,ண்2,0.8654217999,-0.0627721692
ண,0.623567536,ண,0.623567536,-0.205116503
ண1,0.4553734062,ண1,0.4553734062,-0.3416323358
ண2,0.7495442241,ண2,0.7495442241,-0.1252027381
ணா,0.1043148883,ணா,0.1043148883,-0.9816537026
ணா1,0.0927612494,ணா1,0.0927612494,-1.0326334105
